base_year_month,time_type,user_type,age_range,use_amount_by_million
201807,점심,내국인,40대,3321
201807,점심,내국인,50대,2533
201807,점심,내국인,60대,1220
201807,점심,내국인,70대 이상,383
201807,점심,제주도민,19세 이하,14
201807,점심,제주도민,20대,765
201807,점심,제주도민,30대,2200
201807,점심,제주도민,40대,3954
201807,점심,제주도민,50대,3904
201807,점심,제주도민,60대,2166
201807,점심,제주도민,70대 이상,857
201808,밤,내국인,19세 이하,5
201808,밤,내국인,20대,885
201808,밤,내국인,30대,1259
201808,밤,내국인,40대,1387
201808,밤,내국인,50대,1009
201808,밤,내국인,60대,319
201808,밤,내국인,70대 이상,66
201808,밤,제주도민,19세 이하,16
201808,밤,제주도민,20대,1179
201808,밤,제주도민,30대,1704
201808,밤,제주도민,40대,2703
201808,밤,제주도민,50대,2279
201808,밤,제주도민,60대,644
201808,밤,제주도민,70대 이상,107
201808,오전,내국인,19세 이하,7
201808,오전,내국인,20대,994
201808,오전,내국인,30대,1990
201808,오전,내국인,40대,2712
201808,오전,내국인,50대,1893
201808,오전,내국인,60대,845
201808,오전,내국인,70대 이상,224
201808,오전,제주도민,19세 이하,7
201808,오전,제주도민,20대,393
201808,오전,제주도민,30대,1137
201808,오전,제주도민,40대,2204
201808,오전,제주도민,50대,2392
201808,오전,제주도민,60대,1388
201808,오전,제주도민,70대 이상,555
201808,오후,내국인,19세 이하,19
201808,오후,내국인,20대,2525
201808,오후,내국인,30대,4632
201808,오후,내국인,40대,5438
201808,오후,내국인,50대,3697
201808,오후,내국인,60대,1645
201808,오후,내국인,70대 이상,455
201808,오후,제주도민,19세 이하,30
201808,오후,제주도민,20대,1138
201808,오후,제주도민,30대,2851
201808,오후,제주도민,40대,5145
201808,오후,제주도민,50대,4979
201808,오후,제주도민,60대,2637
201808,오후,제주도민,70대 이상,926
201808,저녁,내국인,19세 이하,14
201808,저녁,내국인,20대,2763
201808,저녁,내국인,30대,4631
201808,저녁,내국인,40대,5467
201808,저녁,내국인,50대,3733
201808,저녁,내국인,60대,1519
201808,저녁,내국인,70대 이상,385
201808,저녁,제주도민,19세 이하,39
201808,저녁,제주도민,20대,1936
201808,저녁,제주도민,30대,3916
201808,저녁,제주도민,40대,6684
201808,저녁,제주도민,50대,6204
201808,저녁,제주도민,60대,2701
201808,저녁,제주도민,70대 이상,696
201808,점심,내국인,19세 이하,14
201808,점심,내국인,20대,1953
201808,점심,내국인,30대,3621
201808,점심,내국인,40대,4227
201808,점심,내국인,50대,2869
201808,점심,내국인,60대,1413
201808,점심,내국인,70대 이상,446
201808,점심,제주도민,19세 이하,15
201808,점심,제주도민,20대,837
201808,점심,제주도민,30대,2252
201808,점심,제주도민,40대,4120
201808,점심,제주도민,50대,4040
201808,점심,제주도민,60대,2162
201808,점심,제주도민,70대 이상,830
201809,밤,내국인,19세 이하,4
201809,밤,내국인,20대,624
201809,밤,내국인,30대,1079
201809,밤,내국인,40대,1132
201809,밤,내국인,50대,926
201809,밤,내국인,60대,322
201809,밤,내국인,70대 이상,57
201809,밤,제주도민,19세 이하,16
201809,밤,제주도민,20대,1142
201809,밤,제주도민,30대,1685
201809,밤,제주도민,40대,2646
201809,밤,제주도민,50대,2192
201809,밤,제주도민,60대,639
201809,밤,제주도민,70대 이상,115
201809,오전,내국인,19세 이하,14
201809,오전,내국인,20대,760
201809,오전,내국인,30대,1807
201809,오전,내국인,40대,1958
201809,오전,내국인,50대,1666
201809,오전,내국인,60대,895
201809,오전,내국인,70대 이상,258
201809,오전,제주도민,19세 이하,8
201809,오전,제주도민,20대,390
201809,오전,제주도민,30대,1121
201809,오전,제주도민,40대,2221
201809,오전,제주도민,50대,2540
201809,오전,제주도민,60대,1617
201809,오전,제주도민,70대 이상,687
201809,오후,내국인,19세 이하,38
201809,오후,내국인,20대,1777
201809,오후,내국인,30대,4050
201809,오후,내국인,40대,3881
201809,오후,내국인,50대,3221
201809,오후,내국인,60대,1731
201809,오후,내국인,70대 이상,446
201809,오후,제주도민,19세 이하,32
201809,오후,제주도민,20대,1121
201809,오후,제주도민,30대,2858
201809,오후,제주도민,40대,5311
201809,오후,제주도민,50대,5412
201809,오후,제주도민,60대,3197
201809,오후,제주도민,70대 이상,1151
201809,저녁,내국인,19세 이하,18
201809,저녁,내국인,20대,2025
201809,저녁,내국인,30대,4036
201809,저녁,내국인,40대,3850
201809,저녁,내국인,50대,3185
201809,저녁,내국인,60대,1516
201809,저녁,내국인,70대 이상,332
201809,저녁,제주도민,19세 이하,45
201809,저녁,제주도민,20대,1887
201809,저녁,제주도민,30대,3822
201809,저녁,제주도민,40대,6488
201809,저녁,제주도민,50대,6148
201809,저녁,제주도민,60대,2695
201809,저녁,제주도민,70대 이상,647
